1=p	2=qi.1	3=qi.2	4=qi.3	5=qi.4	6=qi.5	7=qi.6	8=qi.7	9=qi.8	10=theta	11=c	12=s	13=q
0.276798	0.293628	0.255371	0.305363	0.303285	0.271881	0.290473	0.269114	0.268692	1.0263	703.698	0.223068	0.282024
0.280604	0.287521	0.266002	0.280426	0.294604	0.278246	0.3052	0.272601	0.277985	1.04477	644.6	0.0475295	0.289529
0.278467	0.292079	0.267936	0.281004	0.295633	0.278529	0.300614	0.264957	0.276645	1.03703	783.011	0.0518878	0.285832
0.285008	0.297469	0.25846	0.311995	0.293717	0.277545	0.297882	0.288325	0.292925	1.02507	365.764	0.368656	0.29008
0.281574	0.291418	0.271629	0.2864	0.291234	0.280938	0.296882	0.265481	0.277393	1.03664	1152.33	0.0305286	0.28891
0.280161	0.286616	0.276557	0.291282	0.291288	0.281895	0.30313	0.262873	0.277835	1.01305	1265.4	0.0258565	0.282784
0.27907	0.285533	0.26043	0.29068	0.28876	0.280628	0.271019	0.284766	0.265766	0.993271	1864.53	0.165044	0.277713
0.276488	0.282048	0.280058	0.280632	0.281483	0.275191	0.296633	0.269413	0.291587	1.00043	3865.65	0.192781	0.276574
0.283575	0.295004	0.253946	0.300546	0.293136	0.282037	0.279373	0.281063	0.267747	0.949622	1059.7	0.0255829	0.273192
0.285889	0.283101	0.283119	0.288387	0.28637	0.278152	0.306225	0.275496	0.293954	0.969834	2091.42	0.761841	0.279676
0.274492	0.296459	0.24838	0.309934	0.285998	0.286608	0.305248	0.278839	0.277218	1.00165	262.502	0.00821786	0.274821
0.280746	0.285463	0.276987	0.278912	0.29517	0.266962	0.288862	0.26145	0.280577	1.00532	502.061	0.639727	0.281818
0.279084	0.294786	0.252829	0.308958	0.298865	0.280447	0.300739	0.286559	0.293609	1.04008	2120.54	0.0643049	0.287058
0.281023	0.290757	0.265138	0.290768	0.291908	0.292318	0.286115	0.278171	0.278361	1.03928	665.242	0.101181	0.288872
0.284353	0.29501	0.259345	0.308315	0.289023	0.275033	0.311202	0.267165	0.297488	0.966733	347.476	0.0459494	0.277518
0.276724	0.279548	0.272096	0.287616	0.285439	0.278964	0.295991	0.269886	0.281247	1.03494	3859.97	0.0982415	0.28365
0.288127	0.30921	0.25482	0.302693	0.29662	0.274807	0.285867	0.278535	0.28303	0.978174	785.752	0.065654	0.283622
0.270883	0.283197	0.257134	0.296134	0.285777	0.27983	0.301594	0.284412	0.278932	1.06964	1030.73	0.0481193	0.284383
